station name,station latitude,station longitude,use_count
E 33 St & 5 Ave,40.74765946996335,-73.98490707009839,80962
E 35 St & 3 Ave,40.74652400003413,-73.97788499996634,58882
E 39 St & 2 Ave,40.74780372996463,-73.97344189994374,104559
E 39 St & 3 Ave,40.74890059991918,-73.97604881995989,84426
E 4 St & 2 Ave,40.72628069996085,-73.98978041009511,64102
E 41 St & 5 Ave,40.75272201380377,-73.98123621940613,11614
E 41 St & Madison Ave,40.752165280636895,-73.97992193698882,81103
E 43 St & 5 Ave,40.75412081083212,-73.98025184869765,52726
E 44 St & 2 Ave,40.75118387465801,-73.97138714790343,42015
E 45 St & 3 Ave,40.752554340006554,-73.97282624992413,61005
E 47 St & 1 Ave,40.75206861996386,-73.96784383994401,34721
E 47 St & 2 Ave,40.75323097997545,-73.97032517006188,58382
E 47 St & Park Ave,40.7551026698976,-73.97498695993335,145222
E 48 St & 3 Ave,40.75460110256892,-73.97187885502163,51100
E 48 St & 5 Ave,40.75724567904055,-73.97805914282799,105714
E 5 St & 2 Ave,40.726869515269115,-73.9891903102398,18770
E 5 St & Avenue C,40.72299208001744,-73.9799546599685,41740
E 51 St & 1 Ave,40.75455730997302,-73.96592976001179,41839
E 51 St & Lexington Ave,40.75714757997229,-73.9720783600368,45917
E 52 St & 2 Ave,40.75601399999867,-73.9674160000394,59925
E 53 St & 3 Ave,40.75763227742831,-73.9693057537079,58837
E 53 St & Madison Ave,40.7597107999437,-73.9740231099478,69373
E 55 St & 2 Ave,40.75797322000322,-73.96603307999908,15545
E 55 St & 3 Ave,40.758996559634646,-73.96865397691727,70451
E 55 St & Lexington Ave,40.75968084998058,-73.97031365999914,38282
E 58 St & 1 Ave,40.75892386376218,-73.96226227283478,49126
E 58 St & 3 Ave,40.76095756002909,-73.96724466987715,79150
E 58 St & Madison Ave,40.76302594278101,-73.97209525108337,42628
E 59 St & Madison Ave,40.76350532001814,-73.97109242995188,48462
E 6 St & Avenue B,40.724537339992985,-73.98185424006398,75102
E 6 St & Avenue D,40.722280869974064,-73.97668709000557,40063
E 60 St & York Ave,40.759106999990564,-73.95922300002401,20719
E 65 St & 2 Ave,40.76471851944057,-73.96222069859505,29114
E 66 St & Madison Ave,40.76800889305816,-73.96845281124116,14302
E 67 St & Park Ave,40.767800801474245,-73.96592080593109,17492
E 68 St & 3 Ave,40.767128403509965,-73.96224617958069,26758
E 68 St & Madison Ave,40.76915720000358,-73.96703464001918,22532
E 7 St & Avenue A,40.72621787993348,-73.98379855022878,123437
E 71 St & 1 Ave,40.767034323084204,-73.95622730255127,14262
E 71 St & 2 Ave,40.76817546742875,-73.95910263061523,11869
E 72 St & Park Ave,40.77118287538733,-73.96409422159195,32141
E 72 St & York Ave,40.766638140006094,-73.95348295994167,60517
E 74 St & 1 Ave,40.768973799950004,-73.95482272993746,48178
